scenario_key,scenario_name,scheduler,alarm_avg_latency_mean,alarm_avg_latency_std,alarm_avg_latency_ci_lower,alarm_avg_latency_ci_upper,alarm_p95_latency_mean,alarm_p95_latency_std,alarm_p95_latency_ci_lower,alarm_p95_latency_ci_upper,band_0_fairness_mean,band_0_fairness_std,band_0_fairness_ci_lower,band_0_fairness_ci_upper,band_1_fairness_mean,band_1_fairness_std,band_1_fairness_ci_lower,band_1_fairness_ci_upper,band_2_fairness_mean,band_2_fairness_std,band_2_fairness_ci_lower,band_2_fairness_ci_upper,band_3_fairness_mean,band_3_fairness_std,band_3_fairness_ci_lower,band_3_fairness_ci_upper,device_latency_fairness_mean,device_latency_fairness_std,device_latency_fairness_ci_lower,device_latency_fairness_ci_upper,device_throughput_fairness_mean,device_throughput_fairness_std,device_throughput_fairness_ci_lower,device_throughput_fairness_ci_upper,min_device_rate_mean,min_device_rate_std,min_device_rate_ci_lower,min_device_rate_ci_upper,avg_device_rate_mean,avg_device_rate_std,avg_device_rate_ci_lower,avg_device_rate_ci_upper,high_avg_latency_mean,high_avg_latency_std,high_avg_latency_ci_lower,high_avg_latency_ci_upper,high_p95_latency_mean,high_p95_latency_std,high_p95_latency_ci_lower,high_p95_latency_ci_upper,avg_waiting_time_mean,avg_waiting_time_std,avg_waiting_time_ci_lower,avg_waiting_time_ci_upper,p95_waiting_time_mean,p95_waiting_time_std,p95_waiting_time_ci_lower,p95_waiting_time_ci_upper,alarm_dropped_mean,alarm_dropped_std,alarm_dropped_rate_mean,alarm_dropped_rate_std,protection_enabled_mean,protection_enabled_std,alarm_source_fairness_mean,alarm_source_fairness_std,alarm_source_count_mean,alarm_source_count_std,alarm_source_latency_cv_mean,alarm_source_latency_cv_std,alarm_protection_activations_mean,alarm_protection_activations_std,alarm_protection_deactivations_mean,alarm_protection_deactivations_std
alarm_under_burst,Alarm Under Burst,TRIAGE/4,0.02927679803984924,0.0386353482639767,0.01829675355224466,0.040256842527453825,0.02927679803984924,0.0386353482639767,0.01829675355224466,0.040256842527453825,1.0,0.0,1.0,1.0,0.8917875171292979,0.06580423512371751,0.8730861604288358,0.9104888738297601,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7092374465910851,0.13855483116215006,0.6698605992610603,0.7486142939211099,0.683223992502343,0.0,0.683223992502343,0.683223992502343,0.1988501289692244,0.004822810761915422,0.1974795013160371,0.20022075662241173,5.36895348216906,0.13021589057171637,5.331946535533002,5.405960428805117,0.09250806973290539,0.054598819556971274,0.0769912569010354,0.10802488256477538,0.26474760103620826,0.12196818351389115,0.23008462681103428,0.29941057526138226,0.09172743674904052,0.05413758133072709,0.07634170637070355,0.10711316712737749,0.2640353888231737,0.12177037041888439,0.2294286324575765,0.29864214518877086,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alarm_under_burst,Alarm Under Burst,Strict,0.5250009982504317,0.6725039424136927,0.3338774925079788,0.7161245039928845,0.5250009982504317,0.6725039424136927,0.3338774925079788,0.7161245039928845,1.0,0.0,1.0,1.0,0.8858459211503502,0.06598298536953792,0.8670937641921068,0.9045980781085936,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6834583891140737,0.1883201726019703,0.6299383882341807,0.7369783899939668,0.683223992502343,0.0,0.683223992502343,0.683223992502343,0.1988501289692244,0.004822810761915422,0.1974795013160371,0.20022075662241173,5.36895348216906,0.13021589057171637,5.331946535533002,5.405960428805117,0.08631151723027312,0.04899465861903822,0.0723873893146557,0.10023564514589055,0.25267139454284837,0.114128199298965,0.22023651917869255,0.28510626990700416,0.09172743674904052,0.05413758133072709,0.07634170637070355,0.10711316712737749,0.25732921526587704,0.11645556932015821,0.22423290866012308,0.290425521871631,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alarm_under_burst,Alarm Under Burst,FIFO,0.16993325472325574,0.13232265116905598,0.13232757335015166,0.20753893609635982,0.16993325472325574,0.13232265116905598,0.13232757335015166,0.20753893609635982,1.0,0.0,1.0,1.0,0.8894486911268659,0.06533793728624497,0.8708798548055379,0.9080175274481939,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.826891228333291,0.09842893103096197,0.7989180356444855,0.8548644210220965,0.683223992502343,0.0,0.683223992502343,0.683223992502343,0.1988501289692244,0.004822810761915422,0.1974795013160371,0.20022075662241173,5.36895348216906,0.13021589057171637,5.331946535533002,5.405960428805117,0.0907498640243628,0.053579170714204725,0.07552283218731692,0.10597689586140868,0.260556082735946,0.11831473556546881,0.22693140692943098,0.294180758542461,0.09172743674904052,0.05413758133072709,0.07634170637070355,0.10711316712737749,0.2616526914394551,0.11857657761553399,0.22795360094567496,0.2953517819332352,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alarm_under_burst,Alarm Under Burst,WFQ,0.02927679803984924,0.0386353482639767,0.01829675355224466,0.040256842527453825,0.02927679803984924,0.0386353482639767,0.01829675355224466,0.040256842527453825,1.0,0.0,1.0,1.0,0.9853740713642756,0.015189616615536514,0.9810572300859544,0.9896909126425968,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.775167431342914,0.1267435005533886,0.7391473270311196,0.8111875356547084,0.683223992502343,0.0,0.683223992502343,0.683223992502343,0.1988501289692244,0.004822810761915422,0.1974795013160371,0.20022075662241173,5.36895348216906,0.13021589057171637,5.331946535533002,5.405960428805117,0.09250806973290539,0.05459881955697128,0.0769912569010354,0.10802488256477538,0.2701693621885407,0.12552866939515123,0.23449450907187566,0.3058442153052057,0.09172743674904052,0.05413758133072709,0.07634170637070355,0.10711316712737749,0.26948741040236834,0.12527375165508461,0.23388500410584032,0.30508981669889634,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alarm_under_burst,Alarm Under Burst,DRR,0.13275908755231153,0.0861609667747537,0.10827241172845448,0.15724576337616858,0.13275908755231153,0.0861609667747537,0.10827241172845448,0.15724576337616858,1.0,0.0,1.0,1.0,0.8889173463719691,0.06576292138968311,0.8702277309048082,0.9076069618391299,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8477490993562584,0.09952170499534954,0.8194653437430064,0.8760328549695104,0.683223992502343,0.0,0.683223992502343,0.683223992502343,0.1988501289692244,0.004822810761915422,0.1974795013160371,0.20022075662241173,5.36895348216906,0.13021589057171637,5.331946535533002,5.405960428805117,0.09121454111399961,0.054308762110399984,0.0757801616963583,0.10664892053164092,0.2623980129142094,0.12229264435651653,0.22764282793782978,0.297153197890589,0.09172743674904052,0.05413758133072709,0.07634170637070355,0.10711316712737749,0.26298552655245716,0.12167882879143116,0.22840478602952916,0.2975662670753852,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alarm_under_burst,Alarm Under Burst,TBP,0.5250009982504317,0.6725039424136927,0.3338774925079788,0.7161245039928845,0.5250009982504317,0.6725039424136927,0.3338774925079788,0.7161245039928845,1.0,0.0,1.0,1.0,0.8858459211503502,0.06598298536953792,0.8670937641921068,0.9045980781085936,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6834583891140737,0.1883201726019703,0.6299383882341807,0.7369783899939668,0.683223992502343,0.0,0.683223992502343,0.683223992502343,0.1988501289692244,0.004822810761915422,0.1974795013160371,0.20022075662241173,5.36895348216906,0.13021589057171637,5.331946535533002,5.405960428805117,0.08631151723027312,0.04899465861903822,0.0723873893146557,0.10023564514589055,0.25267139454284837,0.114128199298965,0.22023651917869255,0.28510626990700416,0.09172743674904052,0.05413758133072709,0.07634170637070355,0.10711316712737749,0.25732921526587704,0.11645556932015821,0.22423290866012308,0.290425521871631,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alarm_under_burst,Alarm Under Burst,T4-NoSemantic,0.5250009982504317,0.6725039424136927,0.3338774925079788,0.7161245039928845,0.5250009982504317,0.6725039424136927,0.3338774925079788,0.7161245039928845,1.0,0.0,1.0,1.0,0.8858459211503502,0.06598298536953792,0.8670937641921068,0.9045980781085936,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6834583891140737,0.1883201726019703,0.6299383882341807,0.7369783899939668,0.683223992502343,0.0,0.683223992502343,0.683223992502343,0.1988501289692244,0.004822810761915422,0.1974795013160371,0.20022075662241173,5.36895348216906,0.13021589057171637,5.331946535533002,5.405960428805117,0.08631151723027312,0.04899465861903822,0.0723873893146557,0.10023564514589055,0.25267139454284837,0.114128199298965,0.22023651917869255,0.28510626990700416,0.09172743674904052,0.05413758133072709,0.07634170637070355,0.10711316712737749,0.25732921526587704,0.11645556932015821,0.22423290866012308,0.290425521871631,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alarm_under_burst,Alarm Under Burst,T4-FIFOInBand,0.02927679803984924,0.0386353482639767,0.01829675355224466,0.040256842527453825,0.02927679803984924,0.0386353482639767,0.01829675355224466,0.040256842527453825,1.0,0.0,1.0,1.0,0.8917875171292979,0.06580423512371751,0.8730861604288358,0.9104888738297601,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7092374465910851,0.13855483116215006,0.6698605992610603,0.7486142939211099,0.683223992502343,0.0,0.683223992502343,0.683223992502343,0.1988501289692244,0.004822810761915422,0.1974795013160371,0.20022075662241173,5.36895348216906,0.13021589057171637,5.331946535533002,5.405960428805117,0.09250806973290539,0.054598819556971274,0.0769912569010354,0.10802488256477538,0.26474760103620826,0.12196818351389115,0.23008462681103428,0.29941057526138226,0.09172743674904052,0.05413758133072709,0.07634170637070355,0.10711316712737749,0.2640353888231737,0.12177037041888439,0.2294286324575765,0.29864214518877086,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alarm_under_burst,Alarm Under Burst,T4-NoTokens,0.02927679803984924,0.0386353482639767,0.01829675355224466,0.040256842527453825,0.02927679803984924,0.0386353482639767,0.01829675355224466,0.040256842527453825,1.0,0.0,1.0,1.0,0.8917875171292979,0.06580423512371751,0.8730861604288358,0.9104888738297601,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7092374465910851,0.13855483116215006,0.6698605992610603,0.7486142939211099,0.683223992502343,0.0,0.683223992502343,0.683223992502343,0.1988501289692244,0.004822810761915422,0.1974795013160371,0.20022075662241173,5.36895348216906,0.13021589057171637,5.331946535533002,5.405960428805117,0.09250806973290539,0.054598819556971274,0.0769912569010354,0.10802488256477538,0.26474760103620826,0.12196818351389115,0.23008462681103428,0.29941057526138226,0.09172743674904052,0.05413758133072709,0.07634170637070355,0.10711316712737749,0.2640353888231737,0.12177037041888439,0.2294286324575765,0.29864214518877086,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alarm_under_burst,Alarm Under Burst,T4-NoAAP,0.02927679803984924,0.0386353482639767,0.01829675355224466,0.040256842527453825,0.02927679803984924,0.0386353482639767,0.01829675355224466,0.040256842527453825,1.0,0.0,1.0,1.0,0.8917875171292979,0.06580423512371751,0.8730861604288358,0.9104888738297601,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7092374465910851,0.13855483116215006,0.6698605992610603,0.7486142939211099,0.683223992502343,0.0,0.683223992502343,0.683223992502343,0.1988501289692244,0.004822810761915422,0.1974795013160371,0.20022075662241173,5.36895348216906,0.13021589057171637,5.331946535533002,5.405960428805117,0.09250806973290539,0.054598819556971274,0.0769912569010354,0.10802488256477538,0.26474760103620826,0.12196818351389115,0.23008462681103428,0.29941057526138226,0.09172743674904052,0.05413758133072709,0.07634170637070355,0.10711316712737749,0.2640353888231737,0.12177037041888439,0.2294286324575765,0.29864214518877086,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
