manuscript_id,scenario,reference,scheduler,reference_mean_ms,scheduler_mean_ms,delta_pct,t_statistic,p_value,significance,n_reps_reference,n_reps_scheduler
C3,c3_multi_zone_emergency,triage4,fifo,158.36270829444445,3926.149579172222,2379.2134596942583,-353.16702447458755,8.739048762714544e-58,***,30,30
C3,c3_multi_zone_emergency,triage4,strict,158.36270829444445,2927.459387177778,1748.578758665039,-1016.1606824089334,3.4953135766618435e-123,***,30,30
C3,c3_multi_zone_emergency,triage4,wfq,158.36270829444445,3896.239143261111,2360.3261621522774,-110.3354100759928,7.663789744869068e-40,***,30,30
C3,c3_multi_zone_emergency,triage4,drr,158.36270829444445,2495.3815670666663,1475.7381229089572,-712.8108928727524,2.714718866542181e-111,***,30,30
C3,c3_multi_zone_emergency,triage4,tbp,158.36270829444445,5576.4856021666665,3421.3376067036465,-1103.1909874290952,1.1758567467508052e-92,***,30,30
H1,hw_flood_attack,triage4,fifo,102.12198419777778,3579.6948005533327,3405.312620660213,-1312.2939690893695,7.168514378190669e-130,***,30,30
H1,hw_flood_attack,triage4,strict,102.12198419777778,131.75650639222224,29.018748927803657,-13.241900558381761,1.0135169728255965e-18,***,30,30
H1,hw_flood_attack,triage4,wfq,102.12198419777778,862.2856102500001,744.3682494261249,-47.755376515700114,1.1749968384524729e-29,***,30,30
H1,hw_flood_attack,triage4,drr,102.12198419777778,190.54423823444444,86.58493539003403,-45.09988576633232,3.0904584463776137e-37,***,30,30
H1,hw_flood_attack,triage4,tbp,102.12198419777778,7537.2780265599995,7280.661554678267,-2287.035523104304,3.455496482528954e-126,***,30,30
H1,hw_flood_attack,triage4,t4-nosourcelimit,102.12198419777778,98.82365032373364,-3.229798069391513,1.3987069382642492,0.16729827038943365,n.s.,30,30
R3,r3_legit_extreme_emergency,triage4,fifo,491.6208468644445,4457.927291018888,806.781581670413,-1307.5078699255748,2.8210064846000683e-131,***,30,30
R3,r3_legit_extreme_emergency,triage4,strict,491.6208468644445,4765.191825586667,869.2818878570829,-1027.5991100124443,2.6717715657686554e-104,***,30,30
R3,r3_legit_extreme_emergency,triage4,wfq,491.6208468644445,3724.6536892688887,657.6272879851847,-521.4558092919219,2.1036171990314138e-72,***,30,30
R3,r3_legit_extreme_emergency,triage4,drr,491.6208468644445,1338.5741049700005,172.27773466227478,-382.7231520690493,2.6213761539015037e-63,***,30,30
R3,r3_legit_extreme_emergency,triage4,tbp,491.6208468644445,3861.022193715556,685.3658400251206,-1112.1225253109035,3.2744673435634233e-127,***,30,30
R3,r3_legit_extreme_emergency,triage4,t4-nosourcelimit,491.6208468644445,486.59886282333343,-1.0215156808628558,1.8618341499264088,0.06798708995531287,n.s.,30,30
