manuscript_id,scenario,scheduler,zone,alarm_rtt_mean_ms,alarm_rtt_ci95_ms,routine_rtt_mean_ms,routine_rtt_ci95_ms,n
C3,c3_multi_zone_emergency,fifo,0,nan,nan,4413.422768109999,130.60674884078225,600
C3,c3_multi_zone_emergency,fifo,1,nan,nan,3204.239848901667,135.62372224843992,600
C3,c3_multi_zone_emergency,fifo,2,3727.5946640777775,240.9442166499027,3260.931486141667,132.1634184965044,690
C3,c3_multi_zone_emergency,fifo,3,nan,nan,3049.7404405216666,136.07170891445216,600
C3,c3_multi_zone_emergency,fifo,4,4124.704494266667,249.61685254023135,4090.3062503250007,126.86215880386281,690
C3,c3_multi_zone_emergency,fifo,5,nan,nan,4496.886265081666,127.48870917458953,600
C3,c3_multi_zone_emergency,strict,0,nan,nan,255.69809022500002,11.648014458980159,600
C3,c3_multi_zone_emergency,strict,1,nan,nan,566.2062609283333,8.002399166710708,600
C3,c3_multi_zone_emergency,strict,2,598.7169832222222,97.7525649896295,965.5740551299999,7.9972613157800145,690
C3,c3_multi_zone_emergency,strict,3,nan,nan,1427.1422783533333,10.860182162639868,600
C3,c3_multi_zone_emergency,strict,4,5256.201791133333,406.44358146202364,3986.5939994366668,136.95424482212817,690
C3,c3_multi_zone_emergency,strict,5,nan,nan,14143.448413644997,368.10469626108767,600
C3,c3_multi_zone_emergency,wfq,0,nan,nan,1054.49559101,82.04550471545579,600
C3,c3_multi_zone_emergency,wfq,1,nan,nan,1817.552872585,95.18396777892661,600
C3,c3_multi_zone_emergency,wfq,2,2462.4082429,319.60781513272013,3079.5251737133335,111.9716507401746,690
C3,c3_multi_zone_emergency,wfq,3,nan,nan,4019.436776403333,130.29043741485626,600
C3,c3_multi_zone_emergency,wfq,4,5330.070043622222,339.5297761724915,5044.691169158334,142.5613543503319,690
C3,c3_multi_zone_emergency,wfq,5,nan,nan,6209.673179913333,163.66116370667595,600
C3,c3_multi_zone_emergency,drr,0,nan,nan,4345.308547074999,137.44666105423948,600
C3,c3_multi_zone_emergency,drr,1,nan,nan,3121.276231875,138.7529725142915,600
C3,c3_multi_zone_emergency,drr,2,2415.366841144445,23.83682873105804,3481.0316336083333,136.1666867824524,690
C3,c3_multi_zone_emergency,drr,3,nan,nan,3185.821932828333,136.6098102319684,600
C3,c3_multi_zone_emergency,drr,4,2575.3962929888885,22.04721197090484,4102.3704794333335,131.00363949249,690
C3,c3_multi_zone_emergency,drr,5,nan,nan,4496.864649983333,131.70387391469816,600
C3,c3_multi_zone_emergency,tbp,0,nan,nan,553.5650231733334,8.118411264384537,600
C3,c3_multi_zone_emergency,tbp,1,nan,nan,421.224442345,17.629211518093552,600
C3,c3_multi_zone_emergency,tbp,2,965.8625916333332,90.03017990083417,1220.5910481499998,17.160190202677004,690
C3,c3_multi_zone_emergency,tbp,3,nan,nan,1110.4136062933335,17.92121727541336,600
C3,c3_multi_zone_emergency,tbp,4,10187.1086127,256.79265136662013,8129.266683524999,251.3065984551034,690
C3,c3_multi_zone_emergency,tbp,5,nan,nan,9253.79177445,230.190816018946,600
C3,c3_multi_zone_emergency,triage4,0,nan,nan,414.21221792833336,19.423553938457264,600
C3,c3_multi_zone_emergency,triage4,1,nan,nan,607.130615725,12.503507022241301,600
C3,c3_multi_zone_emergency,triage4,2,70.47023535555556,5.469703932714155,1044.255927375,16.724338709927,690
C3,c3_multi_zone_emergency,triage4,3,nan,nan,1487.0515964083334,16.713880375572934,600
C3,c3_multi_zone_emergency,triage4,4,246.25518123333333,7.812648979917461,8833.786166464999,269.23334423415696,690
C3,c3_multi_zone_emergency,triage4,5,nan,nan,9902.94491021,254.06778983466552,600
H1,hw_flood_attack,fifo,0,3722.445279788889,310.33631637565543,3835.1977681900003,171.10955246573204,780
H1,hw_flood_attack,fifo,1,3503.1313711222224,310.3036618134086,3618.303818573333,170.7891838767385,780
H1,hw_flood_attack,fifo,2,3562.641885611111,310.2060849702608,3678.7496315500002,170.8391644480062,780
H1,hw_flood_attack,fifo,3,3500.2896350500005,309.8193046689164,3612.892795706666,170.81321599085496,780
H1,hw_flood_attack,fifo,4,3609.965831194445,310.3330303489361,3729.466101861666,170.7281780852432,780
H1,hw_flood_attack,fifo,5,3871.1823797692,34.163248490409586,nan,nan,15000
H1,hw_flood_attack,strict,0,39.59698056666666,1.839758627698624,41.032295655,0.8472018947792084,780
H1,hw_flood_attack,strict,1,42.54271768888889,4.575042193410744,31.236306238333334,1.972651854763836,780
H1,hw_flood_attack,strict,2,130.04053789444447,6.84988587304644,109.39386099999999,1.5576263223594558,780
H1,hw_flood_attack,strict,3,196.33851852777775,10.694599933006993,165.51672378833334,2.144191920242359,780
H1,hw_flood_attack,strict,4,250.26377728333335,12.257993360112893,201.69340417166669,3.079502528814573,780
H1,hw_flood_attack,strict,5,4792.3622937494,37.00093786272932,nan,nan,15000
H1,hw_flood_attack,wfq,0,40.552712638888885,1.8612545910791174,40.76861293333334,0.9358741627902868,780
H1,hw_flood_attack,wfq,1,42.74960338888889,4.722581723234751,38.519382495,2.856137709851615,780
H1,hw_flood_attack,wfq,2,539.4881610944444,135.78547245234412,822.0274582566667,109.51990772541247,780
H1,hw_flood_attack,wfq,3,1671.1071362277778,269.43731815229745,1355.18029928,126.4988368623068,780
H1,hw_flood_attack,wfq,4,2017.5304379,261.7519143391676,1817.2674798916669,143.90767752320488,780
H1,hw_flood_attack,wfq,5,4606.709876989799,36.03012385572531,nan,nan,15000
H1,hw_flood_attack,drr,0,333.96071512777775,5.60513020867467,325.1985939666667,5.483667160830465,780
H1,hw_flood_attack,drr,1,113.77409546111113,5.26995112075795,112.84277098333335,4.7504130592834555,780
H1,hw_flood_attack,drr,2,171.93797006111112,4.5142789247247705,164.89159851333332,4.53186961388654,780
H1,hw_flood_attack,drr,3,110.63872213888891,5.339040947168481,100.23341928166667,4.5657916868904795,780
H1,hw_flood_attack,drr,4,222.4096883833333,4.2120089044745415,221.75945836,4.1204105463483325,780
H1,hw_flood_attack,drr,5,4772.233493806534,37.15410859530254,nan,nan,15000
H1,hw_flood_attack,tbp,0,57.01198093888888,1.5479284717472614,52.98024369833334,1.1032664619460424,780
H1,hw_flood_attack,tbp,1,31.846664394444446,1.4736637909040133,28.87031412333333,1.1184697016708127,780
H1,hw_flood_attack,tbp,2,184.85706541666667,6.922841592353208,162.525189595,2.3930400086773918,780
H1,hw_flood_attack,tbp,3,141.4120567388889,7.042638575441561,120.69991620166667,2.7348162242175227,780
H1,hw_flood_attack,tbp,4,37271.262365311115,3562.828589553931,38540.738377559996,1952.5611298727429,780
H1,hw_flood_attack,tbp,5,40494.34973317146,392.0704183692472,nan,nan,15000
H1,hw_flood_attack,triage4,0,128.76603970555556,8.360014758060878,59.150993308333334,4.547542551218705,780
H1,hw_flood_attack,triage4,1,35.424926738888885,3.586504612999057,52.75310829833333,5.288736077702181,780
H1,hw_flood_attack,triage4,2,77.12948973333334,3.444089866364238,118.52737950499998,6.381902100791577,780
H1,hw_flood_attack,triage4,3,118.7647574,3.5413970114119637,177.307781095,6.170133868057572,780
H1,hw_flood_attack,triage4,4,150.5247074111111,3.574431498730767,239.93914673,6.230671655296883,780
H1,hw_flood_attack,triage4,5,38.03291245833333,1.9429873746809134,nan,nan,720
H1,hw_flood_attack,t4-nosourcelimit,0,175.36091979999998,17.357202596141626,779.3938744383332,58.53491208959306,660
H1,hw_flood_attack,t4-nosourcelimit,1,30.140530775000002,4.337207429423748,837.352905095,62.34729902111533,720
H1,hw_flood_attack,t4-nosourcelimit,2,72.610414825,4.152776447346568,1164.779159595,90.42388855451244,720
H1,hw_flood_attack,t4-nosourcelimit,3,114.62320185833333,3.7607281390593252,1237.4520647933334,93.7323095630036,720
H1,hw_flood_attack,t4-nosourcelimit,4,146.7525646826923,4.287580278819968,1837.1626124900001,147.878217124081,704
H1,hw_flood_attack,t4-nosourcelimit,5,107.577353850386,2.353034604827708,nan,nan,9197
R3,r3_legit_extreme_emergency,fifo,0,4519.834434483333,437.7895409552453,6252.63155591,161.10101175222428,1680
R3,r3_legit_extreme_emergency,fifo,1,4032.804884794445,446.6691930648462,6234.977717715333,159.83158475070664,1680
