manuscript_id,scenario,scheduler,alarm_rtt_mean_ms,alarm_rtt_ci95_ms,routine_rtt_mean_ms,routine_rtt_ci95_ms,overhead_p50_us,overhead_p99_us,overhead_source,dropped,dropped_legitimate,dropped_legitimate_alarms,inversions_per_rep_mean,inversions_per_rep_ci95,worst_alarm_overtaken,cpu_core_util_mean,alarm_n,routine_n,reps
C3,c3_multi_zone_emergency,fifo,3926.149579172222,175.4099920415723,3752.587843180278,57.09412898310677,1.241,3.044770000000001,measured,0,0,0,0.0,0.0,0,0.0010000000000000002,180,3600,30
C3,c3_multi_zone_emergency,strict,2927.4593871777774,399.7877700755961,3557.443849619722,172.6041278433674,4.63,10.11499,measured,0,0,0,48.0,0.0,24,0.0010000000000000002,180,3600,30
C3,c3_multi_zone_emergency,wfq,3896.2391432611116,313.33003745710124,3537.5624604638892,77.06895755033061,5.332,10.61121,measured,0,0,0,27.533333333333335,1.242222307212521,12,0.001,180,3600,30
C3,c3_multi_zone_emergency,drr,2495.381567066667,19.987493773329476,3788.778912467222,58.05070791997908,6.037,14.256170000000028,measured,0,0,0,0.0,0.0,0,0.001,180,3600,30
C3,c3_multi_zone_emergency,tbp,5576.4856021666665,688.9359746566512,3448.142096322778,134.6080824640069,5.76,14.278,measured,0,0,0,88.0,0.0,40,0.001,180,3600,30
C3,c3_multi_zone_emergency,triage4,158.36270829444445,13.726009525087008,3714.896905685277,145.3049363250476,15.388,50.18545000000002,measured,0,0,0,0.0,0.0,0,0.0010000000000000002,180,3600,30
H1,hw_flood_attack,fifo,3579.694800553333,138.52073558508195,3694.9220231763334,76.41467804158357,1.185,1.87,measured,0,0,0,174.0,6.301219294525556,5,0.0021833333333333336,900,3000,30
H1,hw_flood_attack,strict,131.75650639222224,6.557859371386359,109.77451817066667,2.568087866085969,3.464,6.260179999999971,measured,0,0,0,8388.966666666667,1.0978708478083534,35,0.0024545454545454553,900,3000,30
H1,hw_flood_attack,wfq,862.28561025,96.40747266375017,814.7526465713333,50.85429381014618,5.352,8.981009999999998,measured,0,0,0,6820.866666666667,43.29982760108318,30,0.0023000000000000004,900,3000,30
H1,hw_flood_attack,drr,190.54423823444444,5.852012412924681,184.98516822099995,3.61858768594912,4.648,8.575,measured,0,0,0,8237.233333333334,4.61404180992704,35,0.002266666666666667,900,3000,30
H1,hw_flood_attack,tbp,7537.2780265599995,1204.159775568098,7781.1628082356665,674.7559175867636,4.87,10.463,measured,0,0,0,15088.433333333332,3.9465876118208474,65,0.0021333333333333334,900,3000,30
H1,hw_flood_attack,triage4,102.12198419777778,3.4579396487939675,129.53568178733335,3.6276692008577185,8.981,35.926,measured,14280,0,0,0.5333333333333333,0.32190086763221915,1,0.002016666666666667,900,3000,30
H1,hw_flood_attack,t4-nosourcelimit,98.98629696564886,5.001261589047109,1171.2281232823336,45.01029614908376,14.0,28.462189999999968,measured,6179,376,376,0.13333333333333333,0.18157657789441553,1,0.0015833333333333337,524,3000,30
R3,r3_legit_extreme_emergency,fifo,4457.927291018889,201.69883652027292,6285.400583354,65.47292587001505,1.333,4.5,measured,0,0,0,2.6666666666666665,0.2544849806255463,2,0.0010000000000000002,900,9000,30
R3,r3_legit_extreme_emergency,strict,4765.191825586667,562.6838821205187,6235.849543301778,194.4729754865679,4.333,8.12901,measured,0,0,0,822.6666666666666,0.9459923128327722,248,0.0010000000000000002,900,9000,30
R3,r3_legit_extreme_emergency,wfq,3724.653689268889,224.03594870058845,6353.723516632555,77.17369088633026,5.852,10.445190000000004,measured,0,0,0,161.8,1.1214151978535922,25,0.0010666666666666667,900,9000,30
R3,r3_legit_extreme_emergency,drr,1338.57410497,37.645346054655,6598.733301427444,65.73669305174786,5.666,10.371170000000005,measured,0,0,0,2.0,0.0,2,0.00105,900,9000,30
R3,r3_legit_extreme_emergency,tbp,3861.0221937155557,441.90884699344616,6783.402550816889,191.96714084363578,5.203,11.51801,measured,0,0,0,533.8,0.46420130393473985,132,0.0010833333333333333,900,9000,30
R3,r3_legit_extreme_emergency,triage4,491.62084686444445,23.18971349981452,7116.591030724333,196.4153959279673,13.852,31.241180000000004,measured,0,0,0,0.0,0.0,0,0.0010000000000000002,900,9000,30
R3,r3_legit_extreme_emergency,t4-nosourcelimit,486.59886282333326,23.186524534125844,7119.792625761777,196.44150451651666,13.76,26.796190000000003,measured,0,0,0,0.0,0.0,0,0.0010000000000000002,900,9000,30
