test_name,sweep_param,sweep_value,scheduler,alarm_latency,alarm_p95,band_0_fairness,band_1_fairness,band_2_fairness,band_3_fairness,runtime
device_scalability,device_count,10,triage4,,0.13013372284848873,0.9543917369414242,0.7200580613339723,0.9544730420495291,0.9951221847191717,0.00420379638671875
device_scalability,device_count,10,strict,,0.9794488021254961,0.8853220401473221,0.7180634264677781,0.9556984189337593,0.9792237431497164,0.0017611980438232422
device_scalability,device_count,10,fifo,,0.5277774751750824,0.9298691818753337,0.6834040584618262,0.8129002790098642,0.9882485377366842,0.0014350414276123047
device_scalability,device_count,10,wfq,,0.27178722025680274,0.9119524686470973,0.7175362070719852,0.9555836596600575,0.9765455384407521,0.0020220279693603516
device_scalability,device_count,10,drr,,0.5277774751750824,0.9298691818753337,0.6834040584618262,0.8129002790098642,0.9882485377366842,0.0019762516021728516
device_scalability,device_count,10,tbp,,0.9644904194342322,0.8804086121063817,0.7180634264677781,0.9581759892975271,0.9955721500696025,0.0024406909942626953
device_scalability,device_count,20,triage4,,0.18109426427469477,0.9590914356688962,0.7161905381215788,0.9757178544326517,0.9828040003254146,0.003995656967163086
device_scalability,device_count,20,strict,,1.0983946720220672,0.9623496098385251,0.7152950031876009,0.9752779813956162,0.9777748980888104,0.0017898082733154297
device_scalability,device_count,20,fifo,,1.0256095988365208,0.9736097272478146,0.6739737867024949,0.7606564042324996,0.8224568559625892,0.0014598369598388672
device_scalability,device_count,20,wfq,,0.3313026550484829,0.8706907842401046,0.7141836065847141,0.9755942597621382,0.9797419297712683,0.0020258426666259766
device_scalability,device_count,20,drr,,1.0256095988365208,0.9736097272478146,0.6739737867024949,0.7606564042324996,0.8224568559625892,0.002009153366088867
device_scalability,device_count,20,tbp,,1.963939236392355,0.9903585209672111,0.7092473100390827,0.9744664090327759,0.948385650834047,0.0024216175079345703
device_scalability,device_count,50,triage4,,0.06388252971640632,0.7249344283912547,0.7928809933114884,0.9703853728556324,0.924617068292415,0.0041675567626953125
device_scalability,device_count,50,strict,,5.518389818460513,0.9938220629873776,0.7623130848856453,0.9684237844501768,0.9858549600972499,0.001909017562866211
