test_name,sweep_param,sweep_value,scheduler,alarm_latency,alarm_p95,band_0_fairness,band_1_fairness,band_2_fairness,band_3_fairness,runtime
device_scalability,device_count,10,triage4,,0.13013372284848873,0.9543917369414242,0.7200580613339723,0.9544730420495291,0.9951221847191717,0.0045108795166015625
device_scalability,device_count,10,strict,,0.9794488021254961,0.8853220401473221,0.7180634264677781,0.9556984189337593,0.9792237431497164,0.001753091812133789
device_scalability,device_count,20,triage4,,0.18109426427469477,0.9590914356688962,0.7161905381215788,0.9757178544326517,0.9828040003254146,0.003276824951171875
device_scalability,device_count,20,strict,,1.0983946720220672,0.9623496098385251,0.7152950031876009,0.9752779813956162,0.9777748980888104,0.0014591217041015625
device_scalability,device_count,50,triage4,,0.06388252971640632,0.7249344283912547,0.7928809933114884,0.9703853728556324,0.924617068292415,0.004255056381225586
device_scalability,device_count,50,strict,,5.518389818460513,0.9938220629873776,0.7623130848856453,0.9684237844501768,0.9858549600972499,0.0017468929290771484
device_scalability,device_count,100,triage4,,0.09439837596043987,0.841090113166583,0.7399620557380443,0.9662162253374185,0.934003831820387,0.003704071044921875
device_scalability,device_count,100,strict,,4.1711696857592955,0.98182428231395,0.7589740741132845,0.9650071518871439,0.9897224574388644,0.0018453598022460938
device_scalability,device_count,200,triage4,,0.10070264898233519,0.8274607842759021,0.7562469028582497,0.9530807039134503,0.9091506663156765,0.003925800323486328
device_scalability,device_count,200,strict,,9.315859180561127,0.9946216603368051,0.7139914388639196,0.9640870640039313,0.9878785398225309,0.0023276805877685547
device_scalability,device_count,500,triage4,,0.06422258381993276,0.7452206827406346,0.7517489365043398,0.9369975547314209,0.9073979194909187,0.004168033599853516
device_scalability,device_count,500,strict,,21.966766857700453,0.9788901547341463,0.7370852612064498,0.9652055399660394,0.9870552477725761,0.0025320053100585938
alarm_rate,alarm_ratio,0.01,triage4,0.025781849496791267,,0.7440595625552144,0.9382867158722954,0.9205971736818739,0.9357207581389778,
alarm_rate,alarm_ratio,0.01,strict,0.10626659110324176,,0.8546926972287338,0.9397870108314446,0.980896265281318,0.8285126632611636,
alarm_rate,alarm_ratio,0.02,triage4,0.055798431788595435,,0.6339725314053738,0.9525216086556187,0.928107819547773,0.9540214976391856,
alarm_rate,alarm_ratio,0.02,strict,0.12364569439195179,,0.8210004505241858,0.9323572559093442,0.8533733662366738,0.7477424738414241,
alarm_rate,alarm_ratio,0.05,triage4,0.06600885601784826,,0.74674921932826,0.95557859312819,0.9851613951722222,0.931439289680778,
alarm_rate,alarm_ratio,0.05,strict,0.38158157788999164,,0.8125310768081809,0.9427638412967266,0.931305904795994,0.7150416976416408,
alarm_rate,alarm_ratio,0.1,triage4,0.1649444406642286,,0.7812423009435788,0.9406825480462346,0.946025890915165,0.9395819557231629,
alarm_rate,alarm_ratio,0.1,strict,0.5356001497297318,,0.7221200268381811,0.9123473867349424,0.948726226203974,0.7165742223794688,
alarm_rate,alarm_ratio,0.2,triage4,0.3743670683118439,,0.8696103017409987,0.9970535349567248,0.9587809819696128,0.9778082045437088,
alarm_rate,alarm_ratio,0.2,strict,0.9600635085882396,,0.7447060223086398,0.9774570028881212,0.9534625931557728,0.6075392226022521,
alarm_rate,alarm_ratio,0.35,triage4,0.6899612177527137,,0.8516568679715921,0.9788878011099632,0.9769026953939308,0.9841561317117187,
alarm_rate,alarm_ratio,0.35,strict,1.415882409489111,,0.7581007254971588,0.9399447764024297,0.9178233705405653,0.5381737248404361,
alarm_rate,alarm_ratio,0.5,triage4,0.953819167875254,,0.799923910766233,0.9912925292785055,0.9974943342066633,0.9981656794924398,
alarm_rate,alarm_ratio,0.5,strict,1.6192364194694089,,0.7531339921432145,0.9503473303142402,0.9030879769124927,0.5345354967098662,
