scenario_key,scenario_name,scheduler,alarm_avg_latency_mean,alarm_avg_latency_std,alarm_avg_latency_ci_lower,alarm_avg_latency_ci_upper,alarm_p95_latency_mean,alarm_p95_latency_std,alarm_p95_latency_ci_lower,alarm_p95_latency_ci_upper,band_0_fairness_mean,band_0_fairness_std,band_0_fairness_ci_lower,band_0_fairness_ci_upper,band_1_fairness_mean,band_1_fairness_std,band_1_fairness_ci_lower,band_1_fairness_ci_upper,band_2_fairness_mean,band_2_fairness_std,band_2_fairness_ci_lower,band_2_fairness_ci_upper,band_3_fairness_mean,band_3_fairness_std,band_3_fairness_ci_lower,band_3_fairness_ci_upper,device_latency_fairness_mean,device_latency_fairness_std,device_latency_fairness_ci_lower,device_latency_fairness_ci_upper,device_throughput_fairness_mean,device_throughput_fairness_std,device_throughput_fairness_ci_lower,device_throughput_fairness_ci_upper,min_device_rate_mean,min_device_rate_std,min_device_rate_ci_lower,min_device_rate_ci_upper,avg_device_rate_mean,avg_device_rate_std,avg_device_rate_ci_lower,avg_device_rate_ci_upper,high_avg_latency_mean,high_avg_latency_std,high_avg_latency_ci_lower,high_avg_latency_ci_upper,high_p95_latency_mean,high_p95_latency_std,high_p95_latency_ci_lower,high_p95_latency_ci_upper,avg_waiting_time_mean,avg_waiting_time_std,avg_waiting_time_ci_lower,avg_waiting_time_ci_upper,p95_waiting_time_mean,p95_waiting_time_std,p95_waiting_time_ci_lower,p95_waiting_time_ci_upper,alarm_dropped_mean,alarm_dropped_std,alarm_dropped_rate_mean,alarm_dropped_rate_std,protection_enabled_mean,protection_enabled_std,alarm_source_fairness_mean,alarm_source_fairness_std,alarm_source_count_mean,alarm_source_count_std,alarm_source_latency_cv_mean,alarm_source_latency_cv_std
alarm_flood_attack,Alarm Flood Attack,TRIAGE/4,0.13272418151165374,0.05439378258057356,0.11241320929458173,0.15303515372872575,0.4086126148801599,0.18480594960699726,0.3396049391874989,0.47762029057282085,1.0,0.0,1.0,1.0,0.972597193252473,0.021792018263386077,0.96445991990058,0.9807344666043659,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6917955208195816,0.07787466374043464,0.6627166434809298,0.7208743981582334,0.257201646090535,0.0,0.257201646090535,0.257201646090535,0.9214292401425822,0.05026337708127218,0.9026605866862487,0.9401978935989157,3.8392885005940913,0.209430737838634,3.7610857778593685,3.917491223328814,2.063495210863081,1.085916923047231,1.6580071677877715,2.4689832539383905,3.6724240261803462,1.4398450850573792,3.1347770354389324,4.21007101692176,0.6277009848523866,0.2752074374490841,0.5249368388274276,0.7304651308773455,3.2348041938613834,1.3727163491232524,2.7222234850705864,3.7473849026521804,35.0,0.0,0.17499999999999993,5.646012854083702e-17,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
alarm_flood_attack,Alarm Flood Attack,Strict,1.6890821289896025,0.447619159326244,1.5219383879666812,1.8562258700125238,2.7334389880271575,0.6716679283256045,2.482634061726777,2.984243914327538,1.0,0.0,1.0,1.0,0.8048890672300316,0.04863188467647557,0.7867296230497234,0.8230485114103399,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.32800008760076516,0.04760162546253613,0.3102253485333935,0.3457748266681368,0.257201646090535,0.0,0.257201646090535,0.257201646090535,0.7956211266617272,0.044034699271230784,0.7791782997235522,0.8120639535999022,3.3150880277571964,0.18347791363012853,3.246576248848134,3.383599806666259,0.11312230031023059,0.01667604714852306,0.10689536196810466,0.11934923865235651,0.27228328318425327,0.05575862311367111,0.25146267113642645,0.2931038952320801,1.378893065378908,0.3587821292703926,1.2449216165502055,1.5128645142076105,2.710379859947472,0.665679808524026,2.4618109343286436,2.9589487855663004,,,,,,,,,,,,
alarm_flood_attack,Alarm Flood Attack,FIFO,1.398225666741189,0.36480779079663156,1.2620041989205617,1.5344471345618163,2.616172332396243,0.6739433587732475,2.3645177464029468,2.8678269183895395,1.0,0.0,1.0,1.0,0.9956621058824935,0.002049346203696076,0.9948968674336914,0.9964273443312955,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9963766731331909,0.00135696086477365,0.9958699756189439,0.9968833706474379,0.257201646090535,0.0,0.257201646090535,0.257201646090535,0.7956211266617272,0.044034699271230784,0.7791782997235522,0.8120639535999022,3.3150880277571964,0.18347791363012853,3.246576248848134,3.383599806666259,1.3017877652851066,0.33501986366097414,1.1766892922582368,1.4268862383119765,2.4773172321753725,0.6332309836989043,2.2408648968768334,2.7137695674739115,1.3788930653789078,0.3587821292703925,1.2449216165502053,1.5128645142076103,2.60287568306435,0.665756887263702,2.354277975771113,2.851473390357587,,,,,,,,,,,,
alarm_load_near_saturation,Alarm Load Regime (ρ≈0.95),TRIAGE/4,0.1265358955115258,0.02355598597211359,0.11773994579215087,0.13533184523090075,0.29936748339991287,0.06239996085419674,0.2760669550834906,0.32266801171633513,0.8167299607026901,0.048981518610283326,0.7984399610658792,0.835019960339501,0.824476222135404,0.029002438558222963,0.8136465335968137,0.8353059106739942,0.9878741814487764,0.0047197636028727345,0.9861117927554162,0.9896365701421366,0.9956734865054487,0.0026858331731522845,0.9946705799162852,0.9966763930946123,0.4428587537618092,0.09836958191432975,0.4061269482046699,0.47959055931894856,0.7341309405117978,1.1292025708167404e-16,0.7341309405117978,0.7341309405117978,0.2304778721997315,0.004841673549489162,0.22866996158417288,0.23228578281529014,1.5474942847696254,0.032508379546570064,1.5353554563508747,1.559633113188376,0.12620853614618455,0.014324559344293398,0.1208596577806698,0.13155741451169928,0.3517841397169013,0.048914667304182424,0.3335191027680388,0.3700491766657638,0.4643880364845282,0.1855019947913411,0.3951204532485723,0.533655619720484,2.1234110555928085,1.1324331779039365,1.7005535574950015,2.5462685536906156,0.0,0.0,0.0,0.0,1.0,0.0,0.8167299607026901,0.048981518610283326,4.0,0.0,0.4719048380087141,0.0787190930800891
alarm_load_near_saturation,Alarm Load Regime (ρ≈0.95),Strict,0.3008174133087333,0.06459288850206307,0.2766980323511312,0.32493679426633537,0.8692700018053208,0.2594318110178025,0.7723965715010057,0.9661434321096358,0.6771341693879255,0.04823616500678768,0.6591224893607146,0.6951458494151364,0.788366184833739,0.02348569493814136,0.7795964822178083,0.7971358874496697,0.9629929844664284,0.01568074308848005,0.9571376987682628,0.9688482701645941,0.8607073922414421,0.0660034368611191,0.8360613038703745,0.8853534806125097,0.4642206534291548,0.10976640720365162,0.4232332033694228,0.5052081034888868,0.7341309405117978,1.1292025708167404e-16,0.7341309405117978,0.7341309405117978,0.23158180441369805,0.002834136568168628,0.23052352042673335,0.23264008840066275,1.5549064010634008,0.019029202671989515,1.5478007800080664,1.5620120221187352,0.1138018330994255,0.012053618772464305,0.10930093787964469,0.11830272831920631,0.30844933273236147,0.02998249434336041,0.2972536853492357,0.31964498011548725,0.44603668760725496,0.17074853272055404,0.38227813764695884,0.5097952375675511,2.0960159321156833,1.2708407351429238,1.6214762027711402,2.5705556614602263,,,,,,,,,,,,
alarm_load_near_saturation,Alarm Load Regime (ρ≈0.95),FIFO,0.45911373123069465,0.19313939948427325,0.38699429421349285,0.5312331682478965,0.893913759690529,0.28740689677520137,0.786594260688067,1.001233258692991,0.9787576366835371,0.012781026347615016,0.9739851230112707,0.9835301503558035,0.8714926045514148,0.06130219601643837,0.8486019883621287,0.8943832207407008,0.9946703307615145,0.00389614163198958,0.9932154875664508,0.9961251739565781,0.9969534068674011,0.0014173237514764074,0.9964241694808268,0.9974826442539754,0.9380965342076764,0.030989509532958183,0.9265248611729461,0.9496682072424066,0.7341309405117978,1.1292025708167404e-16,0.7341309405117978,0.7341309405117978,0.23158180441369805,0.002834136568168628,0.23052352042673335,0.23264008840066275,1.5549064010634008,0.019029202671989515,1.5478007800080664,1.5620120221187352,0.44543749501404956,0.17034611682617695,0.38182920961824285,0.5090457804098563,0.9856063585581427,0.27479263022199485,0.8829971040973505,1.0882156130189349,0.44603668760725496,0.17074853272055404,0.38227813764695884,0.5097952375675511,0.9536851165075724,0.27377741472782363,0.8514549497424356,1.0559152832727092,,,,,,,,,,,,
alarm_load_optimal,Alarm Load Regime (ρ≈0.7),TRIAGE/4,0.10120350269321302,0.021648803288447007,0.09311970669183797,0.10928729869458806,0.2542597231672072,0.05403456285952269,0.2340828857984201,0.27443656053599425,0.7648097908744659,0.059180231695076586,0.742711529184758,0.7869080525641737,0.687086827656673,0.026375278794319952,0.6772381366961681,0.6969355186171778,0.9864764585574798,0.004946357676711566,0.9846294582463951,0.9883234588685644,0.9919338661556539,0.0029878987072511362,0.9908181664423548,0.9930495658689531,0.6473499042266277,0.02914905081648619,0.6364654697710781,0.6582343386821774,0.7593586715338918,2.2584051416334807e-16,0.7593586715338917,0.7593586715338919,0.2350698127414183,0.0012180015949755827,0.23461500347127326,0.23552462201156335,1.1529614624936229,0.005974007822975472,1.150730731311483,1.1551921936757628,0.0839254462862455,0.009372623842357427,0.08042565102598395,0.08742524154650705,0.24999898658297032,0.030562575536898586,0.2385867333223594,0.2614112398435812,0.1909817769619711,0.016783757537533164,0.1847146188995962,0.197248935024346,0.49426232396910325,0.04407518433309585,0.4778043796603808,0.5107202682778257,0.0,0.0,0.0,0.0,1.0,0.0,0.7648097908744659,0.059180231695076586,4.0,0.0,0.554226324892164,0.09271033863573973
alarm_load_optimal,Alarm Load Regime (ρ≈0.7),Strict,0.11971000626278487,0.031459686190873484,0.10796276637862866,0.1314572461469411,0.36019950578545323,0.15253006501418157,0.30324384346904587,0.4171551681018606,0.7127106733597025,0.07339919871016466,0.6853029621281999,0.7401183845912052,0.6835052710137137,0.024379934287846943,0.6744016539368725,0.692608888090555,0.9856846706295469,0.004455630916429034,0.9840209107022232,0.9873484305568706,0.9872991848607645,0.007423663829035436,0.9845271432297735,0.9900712264917555,0.6534162620684493,0.028133975311019934,0.6429108630359136,0.6639216611009849,0.7593586715338918,2.2584051416334807e-16,0.7593586715338917,0.7593586715338919,0.2350698127414183,0.0012180015949755827,0.23461500347127326,0.23552462201156335,1.1529614624936229,0.005974007822975472,1.150730731311483,1.1551921936757628,0.08282915717915505,0.008928673606930903,0.07949513566121698,0.08616317869709313,0.24852390874003052,0.03048731684411024,0.23713975753715116,0.2599080599429099,0.1909817769619711,0.01678375753753316,0.1847146188995962,0.197248935024346,0.48773039679213015,0.04065878254091174,0.4725481578782406,0.5029126357060197,,,,,,,,,,,,
alarm_load_optimal,Alarm Load Regime (ρ≈0.7),FIFO,0.1747637768861045,0.045147857538953555,0.1579052898195788,0.1916222639526302,0.41747905778391436,0.12117426866436144,0.3722318422474671,0.46272627332036165,0.8937148190490266,0.04486897679455989,0.8769604677638811,0.9104691703341721,0.6139604802321832,0.023658754949870353,0.6051261559458455,0.6227948045185209,0.970244742886182,0.005587043230300883,0.9681585066576549,0.9723309791147091,0.989427753973705,0.0028878813087764438,0.9883494013707789,0.9905061065766311,0.7690445931077255,0.036041702911843325,0.755586400061231,0.7825027861542201,0.7593586715338918,2.2584051416334807e-16,0.7593586715338917,0.7593586715338919,0.2350698127414183,0.0012180015949755827,0.23461500347127326,0.23552462201156335,1.1529614624936229,0.005974007822975472,1.150730731311483,1.1551921936757628,0.19176095921109867,0.01515632896191242,0.18610149296599604,0.1974204254562013,0.516806347546543,0.04537820059743042,0.4998618489684224,0.5337508461246636,0.1909817769619711,0.01678375753753316,0.1847146188995962,0.197248935024346,0.47286141267714416,0.04505733709691372,0.4560367264991782,0.4896860988551101,,,,,,,,,,,,
alarm_load_underload,Alarm Load Regime (ρ≈0.3),TRIAGE/4,0.07841374411343824,0.017375547539753657,0.07192560803256212,0.08490188019431436,0.22640996635356217,0.06298132471944802,0.20289235320216567,0.24992757950495867,0.6592386548634205,0.04529998072796552,0.6423233640645745,0.6761539456622665,0.7403353377067929,0.03083274092649477,0.7288222030317671,0.7518484723818187,0.989276813186164,0.004254778180669112,0.9876880529029577,0.9908655734693703,0.9945102998795424,0.002656343351412649,0.9935184049707884,0.9955021947882965,0.6486981074616851,0.030796665026992073,0.6371984437489228,0.6601977711744474,0.884265901482544,2.2584051416334807e-16,0.8842659014825439,0.8842659014825441,0.24365766475447348,0.0011008158181920998,0.24324661337252015,0.2440687161364268,0.49891807544963623,0.0022540514372504762,0.4980763988103985,0.49975975208887397,0.09757432220475766,0.015244281838369919,0.09188201381584028,0.10326663059367504,0.32063318920048195,0.08085867994713003,0.2904400618980645,0.3508263165028994,0.17984831785577793,0.019366821321484304,0.17261662792483806,0.1870800077867178,0.49692567506305263,0.08333846970824677,0.4658065790459643,0.528044771080141,0.0,0.0,0.0,0.0,1.0,0.0,0.6592386548634205,0.04529998072796552,4.0,0.0,0.7201415867424398,0.07231824951995681
